ID,Name,Lat,Lon,Archive,Proxy,minYear,maxYear,Resolution,Include in composite,First Author,Publication Year,DOI
Ant_026,Ant-TalosDome.Stenni.2002,-72.8,159.06,glacier ice,dD,1232,1994,  1,yes,Ahmed,2002,'10.1038/NGEO1797'
Ant_035,Ant-TaylorDome.Steig.2000,-77.78,158.72,glacier ice,d18O,-25,1938,  2,yes,Steig,2000,'10.1111/j.0435-3676.2000.00122.x'
Ant_036,Ant-USITASE19991.Steig.2013,-80.62,-122.63,glacier ice,d18O,1724,2000,<1,yes,Steig,2013,'10.1038/ngeo1778'
Ant_037,Ant-USITASE20001.Steig.2013,-79.3838,-111.24,glacier ice,d18O,1673,2001,<1,yes,Steig,2013,'10.1038/ngeo1778'
Ant_040,Ant-USITASE20004.Steig.2013,-78.0829,-120.0764,glacier ice,d18O,1798,2000,<1,yes,Steig,2013,'10.1038/ngeo1778'
Ant_041,Ant-USITASE20005.Steig.2013,-77.683,-123.995,glacier ice,d18O,1718,1999,<1,yes,Steig,2013,'10.1038/ngeo1778'
Ant_047,Ant-USITASE20015.Steig.2013,-77.0593,-89.1376,glacier ice,d18O,1780,2002,<1,yes,Steig,2013,'10.1038/ngeo1778'
Ant_050,Ant-USITASE20024.Steig.2013,-86.5,-107.99,glacier ice,d18O,1594,2003,<1,yes,Steig,2013,'10.1038/ngeo1778'
Ant_027,Ant-VLG.Bertler.2011,-77.3302,162.5332,glacier ice,dD,1140,1999,  1,yes,Bertler,2011,'10.1016/j.epsl.2011.05.021'
Ant_028,Ant-Vostok.Ekaykin.2014,-78.2785,104.8005,glacier ice,dD,1654,2010,  1,yes,Ekaykin,2014,'10.3189/201AoG66A189'
Ant_030,Ant-WDC05A.Steig.2013,-79.46,-112.09,glacier ice,d18O,786,2004,  1,yes,Steig,2013,'10.1038/NGEO1778'
LPDb9285123,Ant-WDC05ABoreholeTreconstruction,-79.463,-112.125,borehole,,9,2007,  1,no,Orsi,2012,[]
Ant_031,Ant-WDC06A.Steig.2013,-79.46,-112.09,glacier ice,d18O,1,1583,  1,yes,Steig,2013,'10.1038/NGEO1778'
Arc_032,Arc-Agassiz.Vinther.2008,80.7,-73.1,glacier ice,d18O,-1,1972,  1,yes,Vinther,2008,'10.1029/2007JD009143'
Arc_089,Arc-AkademiiNauk.Opel.2013,80.52,94.82,glacier ice,d18O,900,1998,  1,yes,Opel,2013,'10.5194/cp-9-2379-2013'
Arc_060,Arc-Arjeplog.Bjorklund.2014,66.3,18.2,tree,MXD,1200,2010,  1,yes,Björklund,2014,'10.5194/cp-10-877-2014'
Arc_058,Arc-Armarnaes.Bjorkelund.2013,65.9,16.1,tree,MXD,1550,2010,  1,yes,Björklund,2013,'10.1007/s00704-012-0787-7'
Arc_018,Arc-Austfonna.Isaksson.2005,79.83,24.02,glacier ice,d18O,1400,1998,  1,yes,ISAKSSON,2005,'10.1111/j.0435-3676.2005.00253.x'
Arc_002,Arc-Avam-Taimyr.Briffa.2008,72,101,tree,TRW,-1,2000,  1,yes,Briffa,2008,'10.1098/rstb.2007.2199'
Arc_042,Arc-BrayaSo.DAndrea.2011,67,-50.7,lake sediment,alkenone,-998,1999, 29,yes,DAndrea,2011,'10.1073/pnas.1101708108'
Arc_033,Arc-Crete.Vinther.2010,71.12,-37.32,glacier ice,d18O,553,1973,  1,yes,Vinther,2010,'10.1016/j.quascirev.2009.11.002'
Arc_034,Arc-Dye.Vinther.2010,65.18,-43.83,glacier ice,d18O,1,1978,  1,yes,Vinther,2010,'10.1016/j.quascirev.2009.11.002'
Arc_086,Arc-Forfjordalen.Loader.2013,69.08,17.22,tree,MXD,1100,2007,  1,yes,McCarroll,2013,'10.1177/0959683612467483'
Arc_035,Arc-GRIP.Vinther.2010,72.58,-37.64,glacier ice,d18O,1,1979,  1,yes,Vinther,2010,'10.1016/j.quascirev.2009.11.002'
Arc_007,Arc-GulfofAlaska.Gregory.2014,61.03,-146.59,tree,TRW,800,2010,  1,yes,Gregory,2014,[]
Arc_073,Arc-HalletLake.McKay.2008,61.5,-146.2,lake sediment,Bsi,116,2005, 11,yes,McKay,2008,'10.1029/2007GL032876'
Arc_040,Arc-HudsonLake.Clegg.2011,61.9,-145.66,lake sediment,midge,-837,1997, 47,yes,Barley,2011,'10.1007/s10933-006-0014-6'
Arc_036,Arc-Iceland.Bergthorsson.1969,64.77,-18.37,documents,historic,945,1935, 30,yes,Bergthorsson,1969,[]
Arc_016,Arc-Indigurka.Hughes.1999,69.5,147,tree,TRW,1259,1994,  1,yes,Hughes,1999,'10.1191/095968399671321516'
Arc_062,Arc-Jamtland.Bjorklund.2014,63.1,15,tree,MXD,1300,2008,  1,yes,Björklund,2014,'10.5194/cp-10-877-2014'
Arc_013,Arc-Jamtland.Gunnarson.2011,63.2,13.3,tree,MXD,1107,2000,  1,yes,Gunnarson,2011,[]
Arc_057,Arc-Kittelfjall.Bjorkelund.2013,65.2,15.5,tree,MXD,1550,2007,  1,yes,Björklund,2013,'10.1007/s00704-012-0787-7'
Arc_078,Arc-Kongressvatn.DAndrea.2012,78.0217,13.9311,lake sediment,alkenone,232,2008, 10,yes,DAndrea,2012,'10.1130/G33365.1'
Arc_052,Arc-Lake4.Rolland.2009,65.1,-83.79,lake sediment,chironomid,634,1997, 50,yes,Birks,2009,'10.1023/A:1008038808690'
Arc_024,Arc-LakeDonardBa.Moore.2001,66.73,-61.35,lake sediment,varve,752,1992,  1,yes,Moore,2001,'10.1023/A:1011181301514'
Arc_079,Arc-LakeE.DAndrea.2011,67,-50.7,lake sediment,alkenone,-3642,1876, 19,yes,DAndrea,2011,'10.1073/pnas.1101708108'
Arc_049,Arc-LakePieni-Ka.Luoto.2010,64.28,30.12,lake sediment,chironomid,462,1979, 44,yes,Luoto,2010,[]
Arc_023,Arc-LenaRiver.MacDonald.1998,70.67,125.87,tree,TRW,1490,1994,  1,yes,MacDonald,1998,'10.2307/1552005'
Arc_066,Arc-Lomonosovfon.Divine.2013,78.8647,17.425,glacier ice,d18O,769,1997,  1,yes,Divine,2013,'10.3402/polar.v30i0.7379'
Arc_045,Arc-MD992275.Jiang.2005,66.55,-17.37,marine sediment,alkenone,157,1952, 17,yes,ter,2005,'10.1007/BF00028046'
Arc_093,Arc-MackenzieDelta.Porter.2013,68.625,-133.87,tree,TRW,1245,2007,  1,yes,Porter,2013,'10.1007/s00382-013-1674-3'
Arc_096,Arc-MackenzieDelta.Porter.2013,68.625,-133.87,tree,d18O,1781,2004,  1,yes,Porter,2013,'10.1007/s00382-013-1674-3'
Arc_031,Arc-NGRIP1.Vinther.2006,75.1,-42.32,glacier ice,d18O,-1,1995,  1,yes,Vinther,2006,'10.1029/2005JD006921'
Arc_026,Arc-NGTB16.Fischer.1998,73.94,-37.63,glacier ice,d18O,1478,1992,  1,yes,Fischer,1998,'10.1029/98GL01177'
Arc_027,Arc-NGTB18.Fischer.1998,76.62,-36.4,glacier ice,d18O,871,1992,  1,yes,Fischer,1998,'10.1029/98GL01177'
Arc_028,Arc-NGTB21.Fischer.1998,80,-41.14,glacier ice,d18O,1397,1993,  1,yes,Fischer,1998,'10.1029/98GL01177'
Arc_044,Arc-PennyIceCapP.Fisher.1998,67.25,-66.75,glacier ice,d18O,5,1980, 25,yes,Fisher,1998,'10.1126/science.279.5351.692'
Arc_051,Arc-PennyIceCapP.Okuyama.2003,67.25,-66.75,glacier ice,melt,9,1984, 25,yes,Okuyama,2003,'10.1029/2001JB001707'
Arc_056,Arc-Renland.Vinther.2008,71.27,-26.73,glacier ice,d18O,3,1983,  5,yes,Vinther,2008,'10.1029/2007JD009143'
Arc_041,Arc-ScreamingLynx.Clegg.2011,66.07,-145.4,lake sediment,midge,-1067,1988, 51,yes,Barley,2011,'10.1007/s10933-006-0014-6'
Arc_076,Arc-SoperLakeBaf.Hughen.2000,62.917,-69.883,lake sediment,varve,1514,1992,  1,yes,Hughen,2000,'10.1191/095968300676746202'
Arc_053,Arc-StoreggaSlid.Sejrup.2011,63.76,5.26,marine sediment,d18O,-957,1999,  7,yes,Sejrup,2011,'10.1016/j.quascirev.2011.07.025'
Arc_059,Arc-Tjeggelvas.Bjorkelund.2013,66.6,17.6,tree,MXD,1550,2010,  1,yes,Björklund,2013,'10.1007/s00704-012-0787-7'
Arc_012,Arc-Tornetrask.Melvin.2013,68.26,19.6,tree,MXD,-39,2010,  1,yes,Melvin,2013,'?'
Arc_097,Arc-Tornio.Loader.2011,65.84,24.819,documents,historic,1695,2011,  1,yes,Loader,2011,'10.1002/jqs.1528'
Arc_037,Arc-VoringPlateau.Berner.2011,66.97,7.64,marine sediment,diatom,-4076,1995, 12,yes,ter,2011,'10.1007/BF00028046'
Arc_100,Arc-Yamalia.Briffa.2013,68.4,66.85,tree,TRW,914,2003,  1,yes,Briffa,2013,'10.1016/j.quascirev.2013.04.008'
Asia_079,Asia-10GKP,27.58,99.35,tree,TRW,1429,2005,  1,yes,,,[]
Asia_080,Asia-11YCT,27.58,99.28,tree,TRW,1542,2005,  1,yes,,,[]
Asia_081,Asia-12YMA,28.03,99.02,tree,TRW,1489,2005,  1,yes,,,[]
Asia_082,Asia-13YET,28.03,98.98,tree,TRW,1393,2005,  1,yes,,,[]
Asia_083,Asia-22DLT,27.88,98.4,tree,TRW,1530,2005,  1,yes,,,[]
Asia_167,Asia-AGHERI,29.48,82.08,tree,TRW,1420,1997,  1,yes,,,[]
Asia_126,Asia-AJTMJT,40.2,72.58,tree,TRW,1420,1995,  1,yes,,,[]
Asia_139,Asia-ANKHLS,48.6,88.37,tree,TRW,1469,2004,  1,yes,,,[]
Asia_184,Asia-ASTABP,35.33,74.8,tree,TRW,1505,2005,  1,yes,,,[]
Asia_185,Asia-ASTPIW,35.33,74.8,tree,TRW,1317,2005,  1,yes,,,[]
Asia_001,Asia-Aktru2.Panyushkina.2005,50.08,87.77,tree,TRW,1495,1998,  1,yes,Panyushkina,2005,'10.3959/1536-1098-61.1.33'
Asia_186,Asia-BAG1JU,36.03,74.58,tree,TRW,1593,1993,  1,yes,,,[]
Asia_187,Asia-BAG2JU,36.03,74.58,tree,TRW,1369,1993,  1,yes,,,[]
Asia_188,Asia-BAG4JU,36.03,74.58,tree,TRW,1438,1993,  1,yes,,,[]
Asia_189,Asia-BAG5JU,36.03,74.58,tree,TRW,1240,1993,  1,yes,,,[]
Asia_061,Asia-BARELC,33.75,107.8,tree,TRW,1600,1992,  1,yes,,,[]
Asia_071,Asia-BAWSIC,31.78,101.92,tree,TRW,1575,2007,  1,yes,,,[]
Asia_140,Asia-BAYHLS,46.32,101.32,tree,TRW,1599,2001,  1,yes,,,[]
Asia_229,Asia-BDFLON,12.22,108.73,tree,TRW,1030,2008,  1,yes,,,[]
Asia_168,Asia-BHULJR,27.7,86.45,tree,TRW,1417,1998,  1,yes,,,[]
Asia_034,Asia-BHUTSP,27.45,90,tree,TRW,1280,2005,  1,yes,,,[]
Asia_029,Asia-BHUTTD,27.67,90.72,tree,TRW,1450,2003,  1,yes,,,[]
Asia_142,Asia-BIARLS,49.97,90.98,tree,TRW,1519,2005,  1,yes,,,[]
Asia_141,Asia-BIGELS,49.97,91,tree,TRW,1350,2005,  1,yes,,,[]
Asia_064,Asia-BLKALS,43.85,93.3,tree,TRW,1571,2002,  1,yes,,,[]
Asia_121,Asia-BONKJT,40.17,72.58,tree,TRW,1346,1995,  1,yes,,,[]
Asia_190,Asia-BUKCDD,35.68,71.63,tree,TRW,1411,2006,  1,yes,,,[]
Asia_191,Asia-BUKPIG,35.68,71.63,tree,TRW,1403,2006,  1,yes,,,[]
Asia_143,Asia-BULGLS,47.1,90.97,tree,TRW,1375,2004,  1,yes,,,[]
Asia_178,Asia-BURGPW,28.77,83.73,tree,TRW,1303,1996,  1,yes,,,[]
Asia_030,Asia-CAMGSP,27.63,90.13,tree,TRW,1400,2005,  1,yes,,,[]
Asia_225,Asia-CENTIB,29.35,92,tree,TRW,1285,2008,  1,yes,,,[]
Asia_192,Asia-CGPCDD,35.9,71.73,tree,TRW,1537,2006,  1,yes,,,[]
Asia_193,Asia-CGPPIG,35.9,71.73,tree,TRW,1260,2006,  1,yes,,,[]
Asia_169,Asia-CHDAND,27.7,86.28,tree,TRW,1546,1998,  1,yes,,,[]
Asia_194,Asia-CHEPCS,35.03,74.58,tree,TRW,1394,2005,  1,yes,,,[]
Asia_217,Asia-CHOLPB,31.95,98.87,tree,TRW,1519,1996,  1,yes,,,[]
Asia_195,Asia-CHP2JU,36.33,74.03,tree,TRW,1032,1993,  1,yes,,,[]
Asia_196,Asia-CHP3JU,36.33,74.03,tree,TRW,1141,1993,  1,yes,,,[]
Asia_227,Asia-CILAUP,24.53,121.38,tree,TRW,907,2007,  1,yes,,,[]
Asia_320,Asia-CentralChina.Wang.1998,29,113,documents,historic,1470,1990, 10,yes,Wang,1998,[]
LPDdc74a376,Asia-Chu.2012.Sihailongwanlake,42.17,126.36,lake sediment,,392,2002, 19,yes,Guoqiang,2012,[]
Asia_040,Asia-DAOSIC,29.28,100.08,tree,TRW,1540,2006,  1,yes,,,[]
Asia_144,Asia-DAYNLS,48.27,88.87,tree,TRW,1537,2005,  1,yes,,,[]
Asia_171,Asia-DDANJR,27.73,86.33,tree,TRW,1445,1998,  1,yes,,,[]
Asia_220,Asia-DENSJT,29.3,91.97,tree,TRW,1217,1998,  1,yes,,,[]
Asia_170,Asia-DEORLA,28.38,83.7,tree,TRW,1395,1997,  1,yes,,,[]
Asia_043,Asia-DEZQIN,34.75,100.82,tree,TRW,1287,2004,  1,yes,,,[]
Asia_031,Asia-DHURPS,27.58,90.65,tree,TRW,1280,2003,  1,yes,,,[]
Asia_084,Asia-DLH1,37.47,97.23,tree,TRW,843,2001,  1,yes,,,[]
Asia_085,Asia-DLH2,37.47,97.22,tree,TRW,828,2001,  1,yes,,,[]
Asia_086,Asia-DLH3,37.45,97.53,tree,TRW,404,2002,  1,yes,,,[]
Asia_087,Asia-DLH4,37.43,98.05,tree,TRW,451,2002,  1,yes,,,[]
Asia_088,Asia-DLH5,37.45,97.78,tree,TRW,711,2003,  1,yes,,,[]
Asia_089,Asia-DLH6,37.52,97.05,tree,TRW,1237,2002,  1,yes,,,[]
Asia_075,Asia-DQHZHO,35,100.07,tree,TRW,1433,2004,  1,yes,,,[]
Asia_048,Asia-DULAJP,36.3,98.08,tree,TRW,159,1993,  1,yes,,,[]
Asia_050,Asia-DUSHJP,36.65,98.08,tree,TRW,840,1993,  1,yes,,,[]
Asia_236,Asia-Dasuopu.Thompson.2000,28.38,85.72,glacier ice,d18O,1450,1996,  1,yes,Thompson,2000,'10.1126/science.289.5486.1916'
Asia_002,Asia-Djaz.Magda.2011,49.62,88.1,tree,TRW,1561,2000,  1,yes,Magda,2011,'10.1134/S1995425511070034'
Asia_197,Asia-DskJUE,35.45,74.78,tree,TRW,1290,2007,  1,yes,,,[]
Asia_182,Asia-ENEPAB,27.73,87.2,tree,TRW,1509,1999,  1,yes,,,[]
Asia_136,Asia-ENGILC,42.15,79.47,tree,TRW,1301,2005,  1,yes,,,[]
Asia_131,Asia-ESPERG,40.17,72.58,tree,TRW,1340,1995,  1,yes,,,[]
Asia_183,Asia-ESPPAK,35.17,75.5,tree,TRW,700,1993,  1,yes,,,[]
Asia_317,Asia-EastChina.Wang.1990,50.5,49.0714,documents,historic,1470,1970, 10,yes,Wang,1990,[]
Asia_318,Asia-EastChinareg.Wang.1998,34,120,documents,historic,1380,1990, 10,yes,Wang,1998,[]
Asia_321,Asia-FujianandTai.Wang.1998,24,121,documents,historic,1500,1960, 10,yes,Wang,1998,[]
Asia_102,Asia-GANGCD,30.98,78.93,tree,TRW,1567,1999,  1,yes,,,[]
Asia_025,Asia-GAYTTD,27.58,90.65,tree,TRW,1294,2003,  1,yes,,,[]
Asia_122,Asia-GEFKJT,40.17,72.58,tree,TRW,1591,1995,  1,yes,,,[]
Asia_032,Asia-GEYZSP,27.42,90.97,tree,TRW,1457,2002,  1,yes,,,[]
Asia_047,Asia-GHEGAN,37.93,101.53,tree,TRW,1288,2000,  1,yes,,,[]
Asia_179,Asia-GHUNAB,27.5,88.02,tree,TRW,1525,1999,  1,yes,,,[]
Asia_172,Asia-GHURCH,29.47,82.12,tree,TRW,1530,1997,  1,yes,,,[]
Asia_044,Asia-GOUQIN,34.73,100.8,tree,TRW,1346,2004,  1,yes,,,[]
Asia_123,Asia-GRAKJT,40.17,72.58,tree,TRW,1378,1995,  1,yes,,,[]
Asia_329,Asia-Guangdong.Zheng.1982,23.16,113.23,documents,historic,1470,1940, 10,yes,Zheng,1982,[]
Asia_326,Asia-Guangdongand.Zhang.1980,23.5,112.5,documents,historic,1470,1960, 10,yes,Zhang,1980,[]
Asia_247,Asia-Guliya.Thompson.1997,35.28,81.48,glacier ice,d18O,5,1985, 10,yes,Thompson,1997,'10.1126/science.276.5320.1821'
Asia_060,Asia-HBHXJP,34.78,100.82,tree,TRW,1500,2002,  1,yes,,,[]
Asia_058,Asia-HBLXJP,34.78,100.82,tree,TRW,1520,2002,  1,yes,,,[]
Asia_059,Asia-HBMXJP,34.78,100.82,tree,TRW,1310,2002,  1,yes,,,[]
Asia_045,Asia-HEBQIN,34.73,100.78,tree,TRW,1475,2004,  1,yes,,,[]
Asia_145,Asia-HENTLS,48.35,107.47,tree,TRW,996,2002,  1,yes,,,[]
Asia_124,Asia-HOCKJT,40.17,72.58,tree,TRW,1316,1995,  1,yes,,,[]
Asia_146,Asia-HORBLS,49.37,94.88,tree,TRW,1550,1997,  1,yes,,,[]
Asia_215,Asia-HRPCSM,35.88,74.88,tree,TRW,1467,2009,  1,yes,,,[]
Asia_090,Asia-HSE,34.47,110.08,tree,TRW,1458,2005,  1,yes,,,[]
Asia_091,Asia-HSS,34.47,110.08,tree,TRW,1512,2005,  1,yes,,,[]
Asia_092,Asia-HSW,34.47,110.08,tree,TRW,1359,2005,  1,yes,,,[]
Asia_062,Asia-HUASPI,34.48,110.08,tree,TRW,1540,1990,  1,yes,,,[]
Asia_074,Asia-HXBURU,43.18,87.18,tree,TRW,1543,1993,  1,yes,,,[]
Asia_077,Asia-HYGJUP,38.7,99.68,tree,TRW,540,2006,  1,yes,,,[]
Asia_328,Asia-HunanJiangsu.Zhang.1980,28,116.5,documents,historic,1470,1960, 10,yes,Zhang,1980,[]
Asia_165,Asia-Hushre,46.78,101.95,tree,TRW,1503,2009,  1,yes,,,[]
Asia_198,Asia-ISBCDD,35.35,71.93,tree,TRW,1511,2006,  1,yes,,,[]
Asia_107,Asia-JANCD,31.37,78.17,tree,TRW,1538,2004,  1,yes,,,[]
Asia_199,Asia-JOTPIG,35.4,74.12,tree,TRW,1559,2007,  1,yes,,,[]
Asia_200,Asia-JUTPCS,35.83,74.33,tree,TRW,1523,2008,  1,yes,,,[]
Asia_003,Asia-Jabe.Ovchinnikov.2000,50.87,85.23,tree,TRW,1568,1995,  1,yes,Ovtchinnikov,2000,[]
Asia_201,Asia-KARPCS,35.88,74.18,tree,TRW,1574,2008,  1,yes,,,[]
Asia_173,Asia-KATKUW,29.52,82.03,tree,TRW,1566,1997,  1,yes,,,[]
Asia_106,Asia-KERALA,10,76.67,tree,TRW,1481,2003,  1,yes,,,[]
Asia_147,Asia-KHELLS,49.92,91.57,tree,TRW,1326,1998,  1,yes,,,[]
Asia_148,Asia-KHOGLS,48.17,99.87,tree,TRW,1340,2000,  1,yes,,,[]
Asia_149,Asia-KHOTLS,48.5,88.5,tree,TRW,1215,2004,  1,yes,,,[]
Asia_150,Asia-KHOVLS,48.7,88.8,tree,TRW,1565,2004,  1,yes,,,[]
Asia_127,Asia-KJTRJT,39.92,71.47,tree,TRW,1019,1995,  1,yes,,,[]
Asia_120,Asia-KMD,33.73,133.12,tree,TRW,1600,2001,  1,yes,,,[]
Asia_135,Asia-KOELIU,42.2,79.05,tree,TRW,1450,2005,  1,yes,,,[]
Asia_137,Asia-KOKKIY,42.42,78.97,tree,TRW,1551,2005,  1,yes,,,[]
Asia_133,Asia-KRNKAM,55,160.5,tree,TRW,1580,2001,  1,yes,,,[]
Asia_110,Asia-KUNASH,43.88,145.6,tree,TRW,1585,2000,  1,yes,,,[]
Asia_007,Asia-Korumdu.Panyushkina.2005,50.14,87.72,tree,TRW,1418,1999,  1,yes,Panyushkina,2005,'10.3959/1536-1098-61.1.33'
Asia_235,Asia-KunashirIsla.Demezhko.2009,43.955,145.725,hybrid,borehole/TRW,1585,2000,  1,yes,Demezhko,2009,[]
Asia_004,Asia-Kur2.Magda.2011,50.3,87.83,tree,TRW,1538,2000,  1,yes,Magda,2011,'10.1134/S1995425511070034'
Asia_005,Asia-Kur3.Magda.2011,50.27,87.83,tree,TRW,1497,2000,  1,yes,Magda,2011,'10.1134/S1995425511070034'
Asia_046,Asia-LAJQIN,34.72,100.72,tree,TRW,1446,2004,  1,yes,,,[]
Asia_180,Asia-LAMIAB,27.5,87.98,tree,TRW,1561,1999,  1,yes,,,[]
Asia_174,Asia-LANGTD,28.18,85.43,tree,TRW,1559,1994,  1,yes,,,[]
Asia_035,Asia-LAYAJR,27.95,89.75,tree,TRW,1453,2006,  1,yes,,,[]
Asia_175,Asia-LUKUTD,27.78,87.27,tree,TRW,856,1996,  1,yes,,,[]
Asia_324,Asia-Lowerreaches.Zhang.1980,32.1,118.8,documents,historic,1470,1960, 10,yes,Zhang,1980,[]
Asia_222,Asia-MAINJT,29.07,93.95,tree,TRW,1047,1993,  1,yes,,,[]
Asia_151,Asia-MANDLS,46.82,100.12,tree,TRW,1411,2002,  1,yes,,,[]
Asia_152,Asia-MANHPS,47.77,107,tree,TRW,1506,1994,  1,yes,,,[]
Asia_041,Asia-MAXSIC,29.15,99.93,tree,TRW,1509,2006,  1,yes,,,[]
Asia_228,Asia-MCCHFH,21.67,104.1,tree,TRW,1470,2004,  1,yes,,,[]
Asia_226,Asia-MHGSTG,19.28,98.93,tree,TRW,1558,2005,  1,yes,,,[]
Asia_128,Asia-MJTQJT,40.17,72.62,tree,TRW,1427,1995,  1,yes,,,[]
Asia_202,Asia-MOR1JU,36.58,75.08,tree,TRW,476,1990,  1,yes,,,[]
Asia_203,Asia-MOR2JU,36.58,75.08,tree,TRW,968,1990,  1,yes,,,[]
Asia_204,Asia-MOR3JU,36.58,75.08,tree,TRW,554,1990,  1,yes,,,[]
Asia_205,Asia-MOR4JU,36.58,75.08,tree,TRW,1069,1990,  1,yes,,,[]
Asia_078,Asia-MQACJP,35.07,100.35,tree,TRW,1082,2001,  1,yes,,,[]
Asia_051,Asia-MQAXJP,35.07,100.35,tree,TRW,1082,2001,  1,yes,,,[]
Asia_052,Asia-MQBXJP,34.78,99.78,tree,TRW,470,2002,  1,yes,,,[]
Asia_053,Asia-MQDXJP,34.72,99.67,tree,TRW,1163,2001,  1,yes,,,[]
Asia_054,Asia-MQFXJP,34.75,99.68,tree,TRW,1230,2002,  1,yes,,,[]
Asia_055,Asia-MQRXJP,34.75,99.68,tree,TRW,960,2002,  1,yes,,,[]
Asia_006,Asia-MS.Magda.2011,49.72,87.28,tree,TRW,1542,2000,  1,yes,Magda,2011,'10.1134/S1995425511070034'
Asia_206,Asia-MSFCDD,35.5,74.08,tree,TRW,1296,2007,  1,yes,,,[]
Asia_112,Asia-MSR,44.35,142.18,tree,TRW,1575,1999,  1,yes,,,[]
Asia_109,Asia-MTASMD,43.77,142.55,tree,TRW,1557,1997,  1,yes,,,[]
Asia_108,Asia-MTASSP,43.77,142.55,tree,TRW,1532,1997,  1,yes,,,[]
Asia_176,Asia-MUMBAS,27.67,87.2,tree,TRW,1546,1996,  1,yes,,,[]
Asia_101,Asia-MUNATG,-5.5,123,tree,TRW,1565,2005,  1,yes,,,[]
Asia_125,Asia-MURKJT,40.17,72.58,tree,TRW,1157,1995,  1,yes,,,[]
Asia_207,Asia-MUSPIG,35.5,74.75,tree,TRW,1362,2007,  1,yes,,,[]
Asia_325,Asia-Middlereache.Zhang.1980,30.5,114.5,documents,historic,1470,1960, 10,yes,Zhang,1980,[]
Asia_138,Asia-NANENG,42.15,79.45,tree,TRW,1528,2005,  1,yes,,,[]
