ID,Lat,Lon,Archive,Proxy,minYear,maxYear,Resolution,Publication,Data Citation,inComposites
Ocn_087,-0.4,-91.23,coral,d18O,1607,1981,  1,dunbar1994eastern,dunbar1994ocean2khrDataCitation,yes
Ocn_088,13.5982,144.8359,coral,d18O,1790,2000,<1,asami2005interannual,asami2005ocean2khrDataCitation,yes
Ocn_090,-4.15,144.8833,coral,d18O,1885,1993,<1,tudhope2001variability,tudhope2001ocean2khrDataCitation,no
Ocn_091,-16.8167,179.2333,coral,d18O,1782,1997,  1,linsley2006tracking,linsley2014ocean2khrDataCitation,yes
Ocn_093,-16.8167,179.2333,coral,Sr/Ca,1782,1997,  1,linsley2006tracking,linsley2014ocean2khrDataCitation,yes
Ocn_095,-16.8167,179.2333,coral,d18O,1618,2002,  1,linsley2006tracking,linsley2014ocean2khrDataCitation,yes
Ocn_096,-21.2378,-159.8278,coral,Sr/Ca,1727,1997,<1,linsley2006tracking,linsley2008ocean2khrDataCitation,yes
Ocn_097,-5.2167,145.8167,coral,d18O,1881,1993,<1,tudhope2001variability,kuhnert2001ocean2khrDataCitation,no
Ocn_098,1,173,coral,d18O,1840,1995,<1,asami2005interannual,urban2000ocean2khrDataCitation,yes
Ocn_099,-17.5,-149.8333,coral,d18O,1853,1991,  1,boiseau1998atmospheric,boiseau2003ocean2khrDataCitation,no
Ocn_101,-22.475,166.4667,coral,Sr/Ca,1649,2000,<1,delong2012sea,delong2012ocean2khrDataCitation,yes
Ocn_103,5.87,-162.13,coral,d18O,928,1998,<1,cobb2003el,cobb2003ocean2khrDataCitation,yes
Ocn_104,7.95,-82,coral,d18O,1708,1985,<1,linsley1994a,linsley1994ocean2khrDataCitation,yes
Ocn_106,-16.82,179.23,coral,d18O,1776,2001,  1,bagnato2005coral,bagnato2005ocean2khrDataCitation,yes
Ocn_107,1,172,coral,d18O,1894,1990,<1,cole1990the,cole1993ocean2khrDataCitation,no
Ocn_108,-15,166.99,coral,d18O,1807,1979,  1,quinn1996new,quinn1994ocean2khrDataCitation,yes
Ocn_109,-19.9333,-174.7167,coral,Sr/Ca,1791,2003,  1,wu2013oceanographic,wu2013ocean2khrDataCitation,yes
Ocn_110,24.93,-80.75,coral,d18O,1824,1985,  1,swart1996the,,yes
Ocn_111,17.93,-67,coral,d18O,1751,2004,  1,kilbourne2008paleoclimate,kilbourne2009ocean2khrDataCitation,yes
Ocn_112,17.93,-67,coral,Sr/Ca,1751,2004,  1,kilbourne2008paleoclimate,kilbourne2009ocean2khrDataCitation,yes
Ocn_114,-28.47,113.77,coral,d18O,1795,1994,<1,kuhnert1999a,kuhnert1999ocean2khrDataCitation,yes
Ocn_115,29.42,34.97,coral,d18O,1788,1992,  1,heiss1999increased,heiss1994ocean2khrDataCitation,yes
Ocn_116,29.42,34.97,coral,d18O,1886,1992,  1,heiss1999increased,heiss1994ocean2khrDataCitation,no
Ocn_118,-21.905,113.965,coral,d18O,1879,1995,<1,kuhnert2000monitoring,kuhnert2001ocean2khrDataCitation,no
Ocn_119,10.2773,-109.2131,coral,d18O,1894,1994,<1,linsley2000el,linsley2000ocean2khrDataCitation,no
Ocn_120,27.1059,142.1941,coral,d18O,1872,1995,<1,felis2009subtropical,felis2009ocean2khrDataCitation,no
Ocn_121,27.1059,142.1941,coral,Sr/Ca,1872,1995,<1,felis2009subtropical,felis2009ocean2khrDataCitation,no
Ocn_122,-22.1,153,coral,d18O,1638,1983,  1,druffel1999variability,druffel2004ocean2khrDataCitation,yes
Ocn_123,-15.94,166.04,coral,d18O,1843,2008,<1,gorman2012a,gorman2012ocean2khrDataCitation,yes
Ocn_125,-21.2378,-159.8278,coral,d18O,1727,1997,<1,linsley2006tracking,linsley2008ocean2khrDataCitation,yes
Ocn_127,-21.2378,-159.8278,coral,d18O,1875,2000,<1,linsley2006tracking,linsley2008ocean2khrDataCitation,no
Ocn_128,-0.53296,166.9283,coral,d18O,1898,1995,<1,guilderson1999reliability,guilderson1999ocean2khrDataCitation,no
Ocn_129,5.87,-162.13,coral,Sr/Ca,1886,1998,<1,nurhati2011decadal,nurhati2010ocean2khrDataCitation,no
Ocn_130,-4.1916,151.9772,coral,d18O,1867,1998,<1,quinn2006coral,quinn2008ocean2khrDataCitation,no
Ocn_131,-4.1916,151.9772,coral,Sr/Ca,1867,1998,<1,quinn2006coral,quinn2008ocean2khrDataCitation,no
Ocn_132,24.8333,65.9167,marine sediment,foraminifera,-117,1989,  8,munz2015decadal,munz2015asiaDataCitation,yes
Ocn_133,41.1,-8.9,marine sediment,alkenone,971,1993,  9,abrantes2011climate,abrantes2011eurDataCitation,yes
Ocn_135,61.48,-19.53,marine sediment,d18O,798,1915, 14,moffa2014solar,moffa2016eurDataCitation,yes
Ocn_136,11.955,44.3,marine sediment,TEX86,1628,2000,  9,tierney2015past,tierney2015africaDataCitation,yes
Ocn_137,11.955,44.3,marine sediment,TEX86,131,1980, 15,tierney2015past,tierney2015africaDataCitation,yes
Ocn_138,32.47,-64.7,coral,d18O,1519,1604,<1,kuhnert2002sea,kuhnert2009ocean2khrDataCitation,yes
Ocn_139,-12.65,45.1,coral,d18O,1866,1994,<1,zinke2008mayotte,zinke2009ocean2khrDataCitation,no
Ocn_140,23.766,-76.053,sclerosponge,d18O,1890,1990,  1,rosenheim2005salinity,rosenheim2005ocean2khrDataCitation,no
Ocn_141,23.766,-76.053,sclerosponge,Sr/Ca,1890,1990,  1,rosenheim2005salinity,rosenheim2005ocean2khrDataCitation,no
